company,ticker,date,close
"Caterpillar Inc",CAT,"2025-07-09 16:00:00",402.18
"Caterpillar Inc",CAT,"2025-07-10 16:00:00",408.33
"Caterpillar Inc",CAT,"2025-07-11 16:00:00",405.92
"Caterpillar Inc",CAT,"2025-07-14 16:00:00",405.77
"Caterpillar Inc",CAT,"2025-07-15 16:00:00",404.64
"Caterpillar Inc",CAT,"2025-07-16 16:00:00",412.88
"Caterpillar Inc",CAT,"2025-07-17 16:00:00",418.07
"Caterpillar Inc",CAT,"2025-07-18 16:00:00",413.71
"Caterpillar Inc",CAT,"2025-07-21 16:00:00",410.07
"Caterpillar Inc",CAT,"2025-07-22 16:00:00",417.19
"Caterpillar Inc",CAT,"2025-07-23 16:00:00",427.59
"Caterpillar Inc",CAT,"2025-07-24 16:00:00",429.52
"Caterpillar Inc",CAT,"2025-07-25 16:00:00",433.75
"Caterpillar Inc",CAT,"2025-07-28 16:00:00",432.94
"Caterpillar Inc",CAT,"2025-07-29 16:00:00",430.05
"Caterpillar Inc",CAT,"2025-07-30 16:00:00",434.12
"Caterpillar Inc",CAT,"2025-07-31 16:00:00",438.02
"Caterpillar Inc",CAT,"2025-08-01 16:00:00",428.69
"Caterpillar Inc",CAT,"2025-08-04 16:00:00",433.7
"Caterpillar Inc",CAT,"2025-08-05 16:00:00",434.23
"Caterpillar Inc",CAT,"2025-08-06 16:00:00",427.72
"Caterpillar Inc",CAT,"2025-08-07 16:00:00",417.12
"Caterpillar Inc",CAT,"2025-08-08 16:00:00",416.52
"Caterpillar Inc",CAT,"2025-08-11 16:00:00",408.54
"Caterpillar Inc",CAT,"2025-08-12 16:00:00",412.71
"Caterpillar Inc",CAT,"2025-08-13 16:00:00",413.7
"Caterpillar Inc",CAT,"2025-08-14 16:00:00",417.5
"Caterpillar Inc",CAT,"2025-08-15 16:00:00",407.79
"Caterpillar Inc",CAT,"2025-08-18 16:00:00",412.64
"Caterpillar Inc",CAT,"2025-08-19 16:00:00",416.09
"Caterpillar Inc",CAT,"2025-08-20 16:00:00",420.59
"Caterpillar Inc",CAT,"2025-08-21 16:00:00",417.89
"Caterpillar Inc",CAT,"2025-08-22 16:00:00",435.67
